Scene,Key,KeyID,en,vn,
contact-detail,order_note,contact-detail.order_note,Note,Ghi chú đơn,
contact-detail,cancel,contact-detail.cancel,Cancel,Huỷ,
contact-detail,finish,contact-detail.finish,Finish,Lưu,
contact-detail,property_total,contact-detail.property_total,Total,Tổng,
contact-detail,event_note,contact-detail.event_note,Note,Ghi chú,
contact-detail,confirm_del_message,contact-detail.confirm_del_message,Are you sure to delete ?,Bạn có muốn xoá ?,
contact-detail,yes,contact-detail.yes,Yes,Có,
contact-detail, no,contact-detail. no,No,Không,
contact-detail,confirm_unassign_title,contact-detail.confirm_unassign_title,Do you want to unassign this user ? ,Bạn có muốn trả contact này về kho ?,
contact-detail,appointment,contact-detail.appointment,Appointment Date,Lịch hẹn,
contact-detail,my_contact,contact-detail.my_contact,My contact,Khách hàng của tôi,
contact-detail,contact,contact-detail.contact,Contact,Khách hàng,
contact-detail,last_contact_never,contact-detail.last_contact_never,Never,Chưa,
contact-detail,confirm_change_message,contact-detail.confirm_change_message,Are you sure to do this ?,Bạn chắc chắn muốn thay đổi không ?,
contact-detail,confirm_title,contact-detail.confirm_title,Confirm,Xác thực,
contact-detail,invoice,contact-detail.invoice,Invoice,Hóa đơn,
contact-detail,delivery_at,contact-detail.delivery_at,Delivery at,Ngày hẹn giao,
contact-detail,order_code,contact-detail.order_code,Order code,Mã đơn hàng,
contact-detail,product_detail,contact-detail.product_detail,Product Detail,Chi tiết sản phẩm,
contact-detail,strategy,contact-detail.strategy,Sale Strategy,Chiến lược bán hàng,
contact-detail,marketting_target,contact-detail.marketting_target,Marketing Target,Mục tiêu Marketing,
contact-detail,question,contact-detail.question,Question,Câu hỏi,
contact-detail,answer,contact-detail.answer,Answer,Trả lời,
contact-detail,edit,contact-detail.edit,Edit,Sửa,
contact-detail,fqa,contact-detail.fqa,FAQ,Câu hỏi thường gặp,
contact-detail,add_fqa,contact-detail.add_fqa,New,Thêm mới,
contact-detail,popup_fqa_title,contact-detail.popup_fqa_title,Add FAQ,Thêm câu hỏi thường gặp,
contact-detail,add,contact-detail.add,Add,Thêm mới,
contact_status,page_title,contact_status.page_title,Contact Status,Cấu hình trạng thái khách hàng,
contact_status,code,contact_status.code,Code,Mã,
stock_receipt,title,stock_receipt.title,Stock Receipt,Nhập kho,
stock_receipt,destination,stock_receipt.destination,Destination,Kho đích,
stock_receipt,courier,stock_receipt.courier,Courier,Đơn vị vận chuyển,
stock_receipt,tracking_number,stock_receipt.tracking_number,Tracking number,Mã vận đơn,
contact_status,description,contact_status.description,Description,Mô tả,
call_status,page_title,call_status.page_title,Call Status,Cấu hình trạng thái cuộc gọi,
call_status,code,call_status.code,Code,Mã,
call_status,description,call_status.description,Description,Mô tả,
warehouse,confirm_delete_message,warehouse.confirm_delete_message,Are you sure to do this ?,Bạn chắc chắn muốn xóa không ?,
warehouse,confirm_title,warehouse.confirm_title,Confirm,Xác thực,
warehouse,code,warehouse.code,Code,Mã kho,
warehouse,name,warehouse.name,Name,Tên kho,
warehouse,type,warehouse.type,Type,Loại kho,
warehouse,address,warehouse.address,Address,Địa chỉ kho,
warehouse,status,warehouse.status,Status,Trạng thái kho,
warehouse,update_warehouse,warehouse.update_warehouse,Update warehouse,Chỉnh sửa kho hàng,
warehouse,add_warehouse,warehouse.add_warehouse,Add warehouse,Thêm kho hàng,
warehouse,empty_records,warehouse.empty_records,Have no warehouse yet,Không tồn tại bản ghi nào,
warehouse,cancel,warehouse.cancel,Cancel,Hủy,
warehouse,finish,warehouse.finish,Finish,Lưu,
warehouse,no,warehouse.no,No,Không,
warehouse,yes,warehouse.yes,Yes,Có,
warehouse,select,warehouse.select,Select,Chọn,
warehouse,physical,warehouse.physical,Physical,Kho vật lý,
warehouse,inactive,warehouse.inactive,Inactive,Không hoạt động,
warehouse,active,warehouse.active,Active,Hoạt động,
warehouse,logic,warehouse.logic,Logic,Kho ảo,
warehouse,empty_records,warehouse.empty_records,Have no contacts yet,Không tồn tại bản ghi nào,
warehouse,title,warehouse.title,Warehouse,Danh sách kho,
order,campaign,order.campaign,Campaign,Chiến dịch,
order,customer_name,order.customer_name,Customer name,Khách hàng,
order,customer_phone,order.customer_phone,Customer phone,Số điện thoại,
order,total_amount,order.total_amount,Total amount,Tổng tiền,
order,delivery_date,order.delivery_date,Delivery date,Ngày hẹn giao,
order,address,order.address,Address,Địa chỉ,
order,product,order.product,Product,Sản phẩm,
order,created_at,order.created_at,Created at,Ngày tạo,
order,empty_list,order.empty_list,Have no orders,Không có đơn hàng,
order,reset_filter,order.reset_filter,Reset filter,Xóa đk lọc,
order,code,order.code,Code,Mã,
order,province,order.province,City,Thành phố,
order,district,order.district,Province,Quận/Huyện,
order,page_title,order.page_title,Orders,Danh sách đơn hàng,
order_detail,page_title,order_detail.page_title,Order,Chi tiết đơn hàng,
order_detail,status,order_detail.status,Status,Trạng thái,
order_detail,created_by,order_detail.created_by,Created by,Tạo bởi,
order_detail,created_time,order_detail.created_time,Created Time,Ngày tạo,
order_detail,product,order_detail.product,Product,Sản phẩm,
order_detail,summary,order_detail.summary,Summary,Tổng quan,
order_detail,product_name,order_detail.product_name,Name,Tên sản phẩm,
order_detail,properties,order_detail.properties,Properties,Thuộc tính,
order_detail,address_detail,order_detail.address_detail,Complete Address,Địa chỉ chi tiết,
order_detail,district,order_detail.district,Province,Quận/huyện,
order_detail,city,order_detail.city,City,Tỉnh/thành phố,
order_detail,contact,order_detail.contact,Contact,Khách hàng,
order_detail,price,order_detail.price,Price,Giá,
order_detail,quantity,order_detail.quantity,Quantity,Số lượng,
order_detail,total,order_detail.total,Total,Thành tiền,
order_detail,fullname,order_detail.fullname,Fullname,Tên khách hàng,
order_detail,phone,order_detail.phone,Phone,SDT,
order_detail,address,order_detail.address,Address,Địa chỉ,
order_detail,note,order_detail.note,Note,Ghi chú,
order_detail,total_amount,order_detail.total_amount,Total amount,Tổng tiền,
order_detail,header,order_detail.header,Orders,Đơn hàng,
order_detail,confirm_del_message,order_detail.confirm_del_message,Are you sure to delete ?,Bạn có muốn xoá ?,
order_detail,no,order_detail.no,No,Không,
order_detail,yes,order_detail.yes,Yes,Có,
order_detail,cancel,order_detail.cancel,Cancel,Hủy,
order_detail,ok,order_detail.ok,Ok,Đồng ý,
order_detail,add_property,order_detail.add_property,Add properties,Thêm thuộc tính,
order_detail,reason,order_detail.reason,Reason,Lý do hủy,
order_detail,add_reason,order_detail.add_reason,Add Reason,Thêm lý do,
order_detail,select_property,order_detail.select_property,Select property,Chọn thuộc tính,
order_detail,shipping,order_detail.shipping,Shipping,Vận chuyển,
order_detail,carrier,order_detail.carrier,Carrier,Đối tác,
order_detail,tracking_number,order_detail.tracking_number,Tracking number,Mã vận đơn,
order_detail,shipping_fee,order_detail.shipping_fee,Shipping fee,Phí vận chuyển,
order_detail,ads,order_detail.ads,Ads,Quảng cáo,
order_detail,due_date,order_detail.due_date,Due Date,Ngày hẹn giao,
sidebar,dashboard,sidebar.dashboard,Dashboard,Trang chủ,
sidebar,logout,sidebar.logout,Logout,Đăng xuất,
sidebar,product,sidebar.product,Product,Sản phẩm,
sidebar,customer_contact,sidebar.customer_contact,Contacts,Số liên hệ,
sidebar,setting,sidebar.setting,Setting,Cài đặt,
